recruitNumber,name,detailLink,publishTime,catalog,workLocation
11,SNG10-交互设计师（深圳）,http://hr.tencent.com/position_detail.php?id=16380&keywords=&tid=0&lid=0,2015-08-25,设计类,深圳
2,TEG14-运营开发工程师（深圳）,http://hr.tencent.com/position_detail.php?id=20752&keywords=&tid=0&lid=0,2015-08-25,技术类,深圳
4,OMG148-腾讯网区域门户渠道经理（北京）,http://hr.tencent.com/position_detail.php?id=19291&keywords=&tid=0&lid=0,2015-08-25,市场类,北京
1,SNG08-QQ空间运营策划产品经理（深圳）,http://hr.tencent.com/position_detail.php?id=20087&keywords=&tid=0&lid=0,2015-08-25,产品/项目类,深圳
1,TEG03-机器学习和数据挖掘工程师（深圳）,http://hr.tencent.com/position_detail.php?id=20268&keywords=&tid=0&lid=0,2015-08-25,技术类,深圳
1,MIG09-浏览器后台开发工程师（北京）,http://hr.tencent.com/position_detail.php?id=21392&keywords=&tid=0&lid=0,2015-08-25,技术类,北京
1,TEG05-业务运维工程师（深圳）,http://hr.tencent.com/position_detail.php?id=21501&keywords=&tid=0&lid=0,2015-08-25,技术类,深圳
1,XN-iOS开发工程师（深圳）,http://hr.tencent.com/position_detail.php?id=21552&keywords=&tid=0&lid=0,2015-08-25,技术类,深圳
2,SNG03-QQ群产品策划经理（深圳）,http://hr.tencent.com/position_detail.php?id=21765&keywords=&tid=0&lid=0,2015-08-25,产品/项目类,深圳
1,MIG06-游戏平台高级产品经理（管理岗、深圳）,http://hr.tencent.com/position_detail.php?id=21578&keywords=&tid=0&lid=0,2015-08-25,产品/项目类,深圳
2,HY2-移动客户端开发（深圳）,http://hr.tencent.com/position_detail.php?id=22082&keywords=&tid=0&lid=0,2015-08-24,技术类,深圳
1,15665-手游赛事运营策划（深圳）,http://hr.tencent.com/position_detail.php?id=22084&keywords=&tid=0&lid=0,2015-08-24,产品/项目类,深圳
2,HY2-游戏运维工程师（深圳）,http://hr.tencent.com/position_detail.php?id=21696&keywords=&tid=0&lid=0,2015-08-25,技术类,深圳
1,15572-移动端游戏专项技术测试工程师（深圳）,http://hr.tencent.com/position_detail.php?id=19229&keywords=&tid=0&lid=0,2015-08-25,技术类,深圳
2,TEG09-接入业务后台开发工程师（深圳）,http://hr.tencent.com/position_detail.php?id=21469&keywords=&tid=0&lid=0,2015-08-24,技术类,深圳
3,SNG12-虚拟化研发工程师（深圳）,http://hr.tencent.com/position_detail.php?id=19754&keywords=&tid=0&lid=0,2015-08-25,技术类,深圳
1,TEG07-CDC高级交互设计师(深圳),http://hr.tencent.com/position_detail.php?id=17973&keywords=&tid=0&lid=0,2015-08-25,设计类,深圳
12,SNG03-在线教育web前端开发工程师（深圳）,http://hr.tencent.com/position_detail.php?id=21169&keywords=&tid=0&lid=0,2015-08-25,技术类,深圳
1,TEG05-后台系统开发工程师（深圳）,http://hr.tencent.com/position_detail.php?id=19855&keywords=&tid=0&lid=0,2015-08-25,技术类,深圳
2,MIG18-开放平台后台开发工程师（北京）,http://hr.tencent.com/position_detail.php?id=20041&keywords=&tid=0&lid=0,2015-08-25,技术类,北京
1,TEG06-企业IT运营应用开发工程师（深圳）,http://hr.tencent.com/position_detail.php?id=20816&keywords=&tid=0&lid=0,2015-08-25,技术类,深圳
2,SNG11-运营开发（深圳）,http://hr.tencent.com/position_detail.php?id=21006&keywords=&tid=0&lid=0,2015-08-25,技术类,深圳
1,MIG18-核心算法工程师（深圳）,http://hr.tencent.com/position_detail.php?id=21625&keywords=&tid=0&lid=0,2015-08-25,技术类,深圳
2,WXG06-微信支付系统测试工程师（深圳）,http://hr.tencent.com/position_detail.php?id=21669&keywords=&tid=0&lid=0,2015-08-25,技术类,深圳
2,OMG232-腾讯网娱乐频道电影策划编辑（北京）,http://hr.tencent.com/position_detail.php?id=22086&keywords=&tid=0&lid=0,2015-08-24,内容编辑类,北京
2,13551-合作支持经理（深圳）,http://hr.tencent.com/position_detail.php?id=22088&keywords=&tid=0&lid=0,2015-08-24,市场类,深圳
4,SNG06-QQ会员平台后台开发工程师（深圳）,http://hr.tencent.com/position_detail.php?id=18626&keywords=&tid=0&lid=0,2015-08-24,技术类,深圳
2,WXG04-微信游戏数据分析挖掘工程师（深圳）,http://hr.tencent.com/position_detail.php?id=21325&keywords=&tid=0&lid=0,2015-08-24,技术类,深圳
2,TEG14-运营开发工程师（深圳）,http://hr.tencent.com/position_detail.php?id=19151&keywords=&tid=0&lid=0,2015-08-25,技术类,深圳
1,SNG08-QQ空间电商产品运营经理（深圳）,http://hr.tencent.com/position_detail.php?id=20208&keywords=&tid=0&lid=0,2015-08-25,产品/项目类,深圳
0,MIG03-智能硬件高级交互设计师（深圳）,http://hr.tencent.com/position_detail.php?id=20269&keywords=&tid=0&lid=0,2015-08-25,设计类,深圳
2,MIG06-Android终端开发工程师（深圳）,http://hr.tencent.com/position_detail.php?id=21105&keywords=&tid=0&lid=0,2015-08-25,技术类,深圳
1,XN-充值业务运营经理（深圳）,http://hr.tencent.com/position_detail.php?id=22075&keywords=&tid=0&lid=0,2015-08-24,产品/项目类,深圳
2,HY4-互娱DSP产品经理（深圳）,http://hr.tencent.com/position_detail.php?id=17938&keywords=&tid=0&lid=0,2014-12-03,产品/项目类,深圳
3,SNG12-游戏商务拓展经理（北京）,http://hr.tencent.com/position_detail.php?id=21218&keywords=&tid=0&lid=0,2015-08-25,市场类,北京
1,MIG08-网站高级运营经理（广州）,http://hr.tencent.com/position_detail.php?id=18295&keywords=&tid=0&lid=0,2014-11-30,产品/项目类,广州
2,ZX1-手Q支付事务型开发工程师（深圳）,http://hr.tencent.com/position_detail.php?id=17886&keywords=&tid=0&lid=0,2014-11-21,技术类,深圳
1,SNG06-产品运营副组长（深圳）,http://hr.tencent.com/position_detail.php?id=15957&keywords=&tid=0&lid=0,2014-11-10,产品/项目类,深圳
30,SNG07-高级系统测试工程师（深圳）,http://hr.tencent.com/position_detail.php?id=21683&keywords=&tid=0&lid=0,2015-08-25,技术类,深圳
4,SNG08-手机Qzone android开发工程师（深圳）,http://hr.tencent.com/position_detail.php?id=11716&keywords=&tid=0&lid=0,2015-08-25,技术类,深圳
1,15616-SH关卡策划（上海）,http://hr.tencent.com/position_detail.php?id=18377&keywords=&tid=0&lid=0,2015-01-15,产品/项目类,上海
1,15569-QQ飞车3D角色设计师（深圳）,http://hr.tencent.com/position_detail.php?id=15842&keywords=&tid=0&lid=0,2015-02-12,设计类,深圳
1,15573-手游世界观系统策划（深圳）,http://hr.tencent.com/position_detail.php?id=18950&keywords=&tid=0&lid=0,2015-02-12,产品/项目类,深圳
1,14914-数据分析高级经理（深圳）,http://hr.tencent.com/position_detail.php?id=17456&keywords=&tid=0&lid=0,2014-10-22,市场类,深圳
2,HY2-高级后台开发工程师（深圳）,http://hr.tencent.com/position_detail.php?id=17512&keywords=&tid=0&lid=0,2014-12-03,技术类,深圳
2,15851-手游服务端开发工程师（深圳）,http://hr.tencent.com/position_detail.php?id=18860&keywords=&tid=0&lid=0,2015-02-12,技术类,深圳
2,15581-欢乐游戏UI界面设计师（深圳）,http://hr.tencent.com/position_detail.php?id=18095&keywords=&tid=0&lid=0,2015-02-12,设计类,深圳
